match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Charness et al._2007_92,Charness et al._2007,1,10,2,Charness et al._2007_55,Charness et al._2007_56,2,4,1351_1352
Charness et al._2007_93,Charness et al._2007,1,10,2,Charness et al._2007_57,Charness et al._2007_59,1,3,1401_1402
Charness et al._2007_94,Charness et al._2007,1,10,2,Charness et al._2007_58,Charness et al._2007_60,2,4,1451_1452
Charness et al._2007_95,Charness et al._2007,1,10,2,Charness et al._2007_61,Charness et al._2007_63,3,1,1501_1502
Charness et al._2007_96,Charness et al._2007,1,10,2,Charness et al._2007_62,Charness et al._2007_64,1,3,1551_1552
Charness et al._2007_97,Charness et al._2007,1,10,20,Charness et al._2007_49,Charness et al._2007_51,3,2,1219_1220
Charness et al._2007_98,Charness et al._2007,1,10,20,Charness et al._2007_50,Charness et al._2007_52,4,2,1244_1245
Charness et al._2007_99,Charness et al._2007,1,10,20,Charness et al._2007_53,Charness et al._2007_54,1,3,1319_1320
Charness et al._2007_100,Charness et al._2007,1,10,20,Charness et al._2007_55,Charness et al._2007_56,2,4,1369_1370
Charness et al._2007_101,Charness et al._2007,1,10,20,Charness et al._2007_57,Charness et al._2007_58,1,4,1419_1420
Charness et al._2007_102,Charness et al._2007,1,10,20,Charness et al._2007_59,Charness et al._2007_60,1,4,1444_1445
Charness et al._2007_103,Charness et al._2007,1,10,20,Charness et al._2007_61,Charness et al._2007_63,1,3,1519_1520
Charness et al._2007_104,Charness et al._2007,1,10,20,Charness et al._2007_62,Charness et al._2007_64,2,4,1569_1570
Charness et al._2007_105,Charness et al._2007,1,10,21,Charness et al._2007_49,Charness et al._2007_50,2,4,1220_1221
Charness et al._2007_106,Charness et al._2007,1,10,21,Charness et al._2007_51,Charness et al._2007_52,3,2,1270_1271
Charness et al._2007_107,Charness et al._2007,1,10,21,Charness et al._2007_53,Charness et al._2007_56,1,4,1320_1321
Charness et al._2007_108,Charness et al._2007,1,10,21,Charness et al._2007_54,Charness et al._2007_55,3,2,1345_1346
Charness et al._2007_109,Charness et al._2007,1,10,21,Charness et al._2007_57,Charness et al._2007_60,3,2,1420_1421
Charness et al._2007_110,Charness et al._2007,1,10,21,Charness et al._2007_58,Charness et al._2007_59,1,4,1445_1446
Charness et al._2007_111,Charness et al._2007,1,10,21,Charness et al._2007_61,Charness et al._2007_62,1,3,1520_1521
Charness et al._2007_112,Charness et al._2007,1,10,21,Charness et al._2007_63,Charness et al._2007_64,4,2,1545_1546
Charness et al._2007_113,Charness et al._2007,1,10,22,Charness et al._2007_49,Charness et al._2007_50,2,3,1221_1222
Charness et al._2007_114,Charness et al._2007,1,10,22,Charness et al._2007_51,Charness et al._2007_52,1,3,1271_1272
Charness et al._2007_115,Charness et al._2007,1,10,22,Charness et al._2007_53,Charness et al._2007_55,4,2,1321_1322
Charness et al._2007_116,Charness et al._2007,1,10,22,Charness et al._2007_54,Charness et al._2007_56,1,4,1346_1347
Charness et al._2007_117,Charness et al._2007,1,10,22,Charness et al._2007_57,Charness et al._2007_58,1,4,1421_1422
Charness et al._2007_118,Charness et al._2007,1,10,22,Charness et al._2007_59,Charness et al._2007_60,2,4,1446_1447
Charness et al._2007_119,Charness et al._2007,1,10,22,Charness et al._2007_61,Charness et al._2007_62,1,4,1521_1522
Charness et al._2007_120,Charness et al._2007,1,10,22,Charness et al._2007_63,Charness et al._2007_64,1,4,1546_1547
Charness et al._2007_121,Charness et al._2007,1,10,23,Charness et al._2007_49,Charness et al._2007_50,3,1,1222_1223
Charness et al._2007_122,Charness et al._2007,1,10,23,Charness et al._2007_51,Charness et al._2007_52,1,4,1272_1273
Charness et al._2007_123,Charness et al._2007,1,10,23,Charness et al._2007_53,Charness et al._2007_56,3,2,1322_1323
Charness et al._2007_124,Charness et al._2007,1,10,23,Charness et al._2007_54,Charness et al._2007_55,2,3,1347_1348
Charness et al._2007_125,Charness et al._2007,1,10,23,Charness et al._2007_57,Charness et al._2007_59,3,2,1422_1423
Charness et al._2007_126,Charness et al._2007,1,10,23,Charness et al._2007_58,Charness et al._2007_60,2,3,1472_1473
Charness et al._2007_127,Charness et al._2007,1,10,23,Charness et al._2007_61,Charness et al._2007_62,3,1,1522_1523
Charness et al._2007_128,Charness et al._2007,1,10,23,Charness et al._2007_63,Charness et al._2007_64,4,2,1547_1548
Charness et al._2007_129,Charness et al._2007,1,10,24,Charness et al._2007_49,Charness et al._2007_51,1,3,1223_1224
Charness et al._2007_130,Charness et al._2007,1,10,24,Charness et al._2007_50,Charness et al._2007_52,3,1,1248_1249
Charness et al._2007_131,Charness et al._2007,1,10,24,Charness et al._2007_53,Charness et al._2007_54,2,4,1323_1324
Charness et al._2007_132,Charness et al._2007,1,10,24,Charness et al._2007_55,Charness et al._2007_56,4,1,1373_1374
Charness et al._2007_133,Charness et al._2007,1,10,24,Charness et al._2007_57,Charness et al._2007_58,1,4,1423_1424
Charness et al._2007_134,Charness et al._2007,1,10,24,Charness et al._2007_59,Charness et al._2007_60,2,3,1448_1449
Charness et al._2007_135,Charness et al._2007,1,10,24,Charness et al._2007_61,Charness et al._2007_64,4,2,1523_1524
Charness et al._2007_136,Charness et al._2007,1,10,24,Charness et al._2007_62,Charness et al._2007_63,3,1,1548_1549
Charness et al._2007_137,Charness et al._2007,1,10,25,Charness et al._2007_49,Charness et al._2007_50,1,3,1224_1225
Charness et al._2007_138,Charness et al._2007,1,10,25,Charness et al._2007_51,Charness et al._2007_52,2,4,1274_1275
Charness et al._2007_139,Charness et al._2007,1,10,25,Charness et al._2007_53,Charness et al._2007_56,2,4,1324_1325
Charness et al._2007_140,Charness et al._2007,1,10,25,Charness et al._2007_54,Charness et al._2007_55,2,4,1349_1350
Charness et al._2007_141,Charness et al._2007,1,10,25,Charness et al._2007_57,Charness et al._2007_59,3,1,1424_1425
Charness et al._2007_142,Charness et al._2007,1,10,25,Charness et al._2007_58,Charness et al._2007_60,2,3,1474_1475
Charness et al._2007_143,Charness et al._2007,1,10,25,Charness et al._2007_61,Charness et al._2007_64,3,1,1524_1525
Charness et al._2007_144,Charness et al._2007,1,10,25,Charness et al._2007_62,Charness et al._2007_63,3,1,1549_1550
Charness et al._2007_145,Charness et al._2007,1,10,3,Charness et al._2007_49,Charness et al._2007_50,2,3,1202_1203
Charness et al._2007_146,Charness et al._2007,1,10,3,Charness et al._2007_51,Charness et al._2007_52,1,3,1252_1253
Charness et al._2007_147,Charness et al._2007,1,10,3,Charness et al._2007_53,Charness et al._2007_55,1,3,1302_1303
Charness et al._2007_148,Charness et al._2007,1,10,3,Charness et al._2007_54,Charness et al._2007_56,2,3,1327_1328
Charness et al._2007_149,Charness et al._2007,1,10,3,Charness et al._2007_57,Charness et al._2007_60,3,1,1402_1403
Charness et al._2007_150,Charness et al._2007,1,10,3,Charness et al._2007_58,Charness et al._2007_59,2,4,1427_1428
Charness et al._2007_151,Charness et al._2007,1,10,3,Charness et al._2007_61,Charness et al._2007_63,1,4,1502_1503
Charness et al._2007_152,Charness et al._2007,1,10,3,Charness et al._2007_62,Charness et al._2007_64,3,1,1552_1553
Charness et al._2007_153,Charness et al._2007,1,10,4,Charness et al._2007_49,Charness et al._2007_50,1,3,1203_1204
Charness et al._2007_154,Charness et al._2007,1,10,4,Charness et al._2007_51,Charness et al._2007_52,3,1,1253_1254
Charness et al._2007_155,Charness et al._2007,1,10,4,Charness et al._2007_53,Charness et al._2007_56,2,4,1303_1304
Charness et al._2007_156,Charness et al._2007,1,10,4,Charness et al._2007_54,Charness et al._2007_55,4,2,1328_1329
Charness et al._2007_157,Charness et al._2007,1,10,4,Charness et al._2007_57,Charness et al._2007_59,1,4,1403_1404
Charness et al._2007_158,Charness et al._2007,1,10,4,Charness et al._2007_58,Charness et al._2007_60,4,2,1453_1454
Charness et al._2007_159,Charness et al._2007,1,10,4,Charness et al._2007_61,Charness et al._2007_63,1,3,1503_1504
Charness et al._2007_160,Charness et al._2007,1,10,4,Charness et al._2007_62,Charness et al._2007_64,3,1,1553_1554
Charness et al._2007_161,Charness et al._2007,1,10,5,Charness et al._2007_49,Charness et al._2007_50,2,3,1204_1205
Charness et al._2007_162,Charness et al._2007,1,10,5,Charness et al._2007_51,Charness et al._2007_52,3,2,1254_1255
Charness et al._2007_163,Charness et al._2007,1,10,5,Charness et al._2007_53,Charness et al._2007_54,4,2,1304_1305
Charness et al._2007_164,Charness et al._2007,1,10,5,Charness et al._2007_55,Charness et al._2007_56,1,4,1354_1355
Charness et al._2007_165,Charness et al._2007,1,10,5,Charness et al._2007_57,Charness et al._2007_59,3,2,1404_1405
Charness et al._2007_166,Charness et al._2007,1,10,5,Charness et al._2007_58,Charness et al._2007_60,4,1,1454_1455
Charness et al._2007_167,Charness et al._2007,1,10,5,Charness et al._2007_61,Charness et al._2007_63,2,3,1504_1505
Charness et al._2007_168,Charness et al._2007,1,10,5,Charness et al._2007_62,Charness et al._2007_64,4,1,1554_1555
Charness et al._2007_169,Charness et al._2007,1,10,6,Charness et al._2007_49,Charness et al._2007_50,4,1,1205_1206
Charness et al._2007_170,Charness et al._2007,1,10,6,Charness et al._2007_51,Charness et al._2007_52,2,3,1255_1256
Charness et al._2007_171,Charness et al._2007,1,10,6,Charness et al._2007_53,Charness et al._2007_54,4,2,1305_1306
Charness et al._2007_172,Charness et al._2007,1,10,6,Charness et al._2007_55,Charness et al._2007_56,3,2,1355_1356
