match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_61,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_253,Schmidt et al._2013_254,2,3
Schmidt et al._2013_62,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_255,Schmidt et al._2013_256,2,3
Schmidt et al._2013_63,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_257,Schmidt et al._2013_258,1,4
Schmidt et al._2013_64,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_259,Schmidt et al._2013_260,1,3
Schmidt et al._2013_65,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_261,Schmidt et al._2013_262,2,4
Schmidt et al._2013_66,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_263,Schmidt et al._2013_264,1,3
Schmidt et al._2013_67,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_265,Schmidt et al._2013_266,1,4
Schmidt et al._2013_68,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_267,Schmidt et al._2013_268,1,4
Schmidt et al._2013_69,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_269,Schmidt et al._2013_270,1,4
Schmidt et al._2013_70,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_271,Schmidt et al._2013_272,2,4
Schmidt et al._2013_71,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_273,Schmidt et al._2013_274,2,3
Schmidt et al._2013_72,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_275,Schmidt et al._2013_276,2,3
Schmidt et al._2013_73,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_277,Schmidt et al._2013_278,2,4
Schmidt et al._2013_74,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_279,Schmidt et al._2013_280,1,4
Schmidt et al._2013_75,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_281,Schmidt et al._2013_282,1,4
Schmidt et al._2013_76,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_283,Schmidt et al._2013_284,2,3
Schmidt et al._2013_77,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_285,Schmidt et al._2013_286,1,3
Schmidt et al._2013_78,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_287,Schmidt et al._2013_288,2,4
Schmidt et al._2013_79,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_289,Schmidt et al._2013_290,1,3
Schmidt et al._2013_80,Schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,Schmidt et al._2013_291,Schmidt et al._2013_292,2,3
Schmidt et al._2013_81,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_293,Schmidt et al._2013_294,1,3
Schmidt et al._2013_82,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_295,Schmidt et al._2013_296,1,3
Schmidt et al._2013_83,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_297,Schmidt et al._2013_298,1,3
Schmidt et al._2013_84,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_299,Schmidt et al._2013_300,1,4
Schmidt et al._2013_85,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_301,Schmidt et al._2013_302,1,4
Schmidt et al._2013_86,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_303,Schmidt et al._2013_304,2,4
Schmidt et al._2013_87,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_305,Schmidt et al._2013_306,1,4
Schmidt et al._2013_88,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_307,Schmidt et al._2013_308,1,3
Schmidt et al._2013_89,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_309,Schmidt et al._2013_310,1,3
Schmidt et al._2013_90,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_311,Schmidt et al._2013_312,1,3
Schmidt et al._2013_91,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_313,Schmidt et al._2013_314,2,3
Schmidt et al._2013_92,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_315,Schmidt et al._2013_316,1,3
Schmidt et al._2013_93,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_317,Schmidt et al._2013_318,1,3
Schmidt et al._2013_94,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_319,Schmidt et al._2013_320,1,3
Schmidt et al._2013_95,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_321,Schmidt et al._2013_322,1,3
Schmidt et al._2013_96,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_323,Schmidt et al._2013_324,1,3
Schmidt et al._2013_97,Schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,Schmidt et al._2013_325,Schmidt et al._2013_326,1,3
