match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Rankin et al._2000_78,Rankin et al._2000,0,1,45,Rankin et al._2000_18,Rankin et al._2000_19,1,4,2113_2114
Rankin et al._2000_79,Rankin et al._2000,0,1,45,Rankin et al._2000_21,Rankin et al._2000_22,1,3,2114_2115
Rankin et al._2000_80,Rankin et al._2000,0,1,45,Rankin et al._2000_23,Rankin et al._2000_24,1,3,2117_2118
Rankin et al._2000_81,Rankin et al._2000,0,1,47,Rankin et al._2000_17,Rankin et al._2000_20,1,3,2208_2209
Rankin et al._2000_82,Rankin et al._2000,0,1,47,Rankin et al._2000_18,Rankin et al._2000_19,1,3,2209_2210
Rankin et al._2000_83,Rankin et al._2000,0,1,47,Rankin et al._2000_21,Rankin et al._2000_23,1,3,2210_2211
Rankin et al._2000_84,Rankin et al._2000,0,1,47,Rankin et al._2000_22,Rankin et al._2000_24,1,3,2212_2213
Rankin et al._2000_85,Rankin et al._2000,0,1,49,Rankin et al._2000_17,Rankin et al._2000_20,1,3,2304_2305
Rankin et al._2000_86,Rankin et al._2000,0,1,49,Rankin et al._2000_18,Rankin et al._2000_22,1,3,2307_2308
Rankin et al._2000_87,Rankin et al._2000,0,1,49,Rankin et al._2000_19,Rankin et al._2000_23,1,3,2305_2306
Rankin et al._2000_88,Rankin et al._2000,0,1,49,Rankin et al._2000_21,Rankin et al._2000_24,1,3,2306_2307
Rankin et al._2000_89,Rankin et al._2000,0,1,53,Rankin et al._2000_17,Rankin et al._2000_23,1,3,2496_2497
Rankin et al._2000_90,Rankin et al._2000,0,1,53,Rankin et al._2000_18,Rankin et al._2000_21,1,3,2498_2499
Rankin et al._2000_91,Rankin et al._2000,0,1,53,Rankin et al._2000_19,Rankin et al._2000_20,1,3,2497_2498
Rankin et al._2000_92,Rankin et al._2000,0,1,53,Rankin et al._2000_22,Rankin et al._2000_24,1,3,2500_2501
Rankin et al._2000_93,Rankin et al._2000,0,1,56,Rankin et al._2000_17,Rankin et al._2000_22,1,3,2640_2641
Rankin et al._2000_94,Rankin et al._2000,0,1,56,Rankin et al._2000_18,Rankin et al._2000_21,1,4,2642_2643
Rankin et al._2000_95,Rankin et al._2000,0,1,56,Rankin et al._2000_19,Rankin et al._2000_24,1,3,2641_2642
Rankin et al._2000_96,Rankin et al._2000,0,1,56,Rankin et al._2000_20,Rankin et al._2000_23,1,3,2645_2646
Rankin et al._2000_97,Rankin et al._2000,0,1,57,Rankin et al._2000_17,Rankin et al._2000_24,1,3,2672_2673
Rankin et al._2000_98,Rankin et al._2000,0,1,57,Rankin et al._2000_18,Rankin et al._2000_19,1,3,2673_2674
Rankin et al._2000_99,Rankin et al._2000,0,1,57,Rankin et al._2000_20,Rankin et al._2000_21,1,3,2674_2675
Rankin et al._2000_100,Rankin et al._2000,0,1,57,Rankin et al._2000_22,Rankin et al._2000_23,1,3,2676_2677
Rankin et al._2000_101,Rankin et al._2000,0,1,58,Rankin et al._2000_17,Rankin et al._2000_18,1,3,2704_2705
Rankin et al._2000_102,Rankin et al._2000,0,1,58,Rankin et al._2000_19,Rankin et al._2000_20,1,3,2705_2706
Rankin et al._2000_103,Rankin et al._2000,0,1,58,Rankin et al._2000_21,Rankin et al._2000_23,1,3,2706_2707
Rankin et al._2000_104,Rankin et al._2000,0,1,58,Rankin et al._2000_22,Rankin et al._2000_24,1,3,2708_2709
Rankin et al._2000_105,Rankin et al._2000,0,1,59,Rankin et al._2000_17,Rankin et al._2000_19,1,3,2736_2737
Rankin et al._2000_106,Rankin et al._2000,0,1,59,Rankin et al._2000_18,Rankin et al._2000_24,2,3,2739_2740
Rankin et al._2000_107,Rankin et al._2000,0,1,59,Rankin et al._2000_20,Rankin et al._2000_22,1,3,2740_2741
Rankin et al._2000_108,Rankin et al._2000,0,1,59,Rankin et al._2000_21,Rankin et al._2000_23,1,3,2738_2739
Rankin et al._2000_109,Rankin et al._2000,0,1,60,Rankin et al._2000_17,Rankin et al._2000_18,1,3,2768_2769
Rankin et al._2000_110,Rankin et al._2000,0,1,60,Rankin et al._2000_19,Rankin et al._2000_22,1,3,2769_2770
Rankin et al._2000_111,Rankin et al._2000,0,1,60,Rankin et al._2000_20,Rankin et al._2000_24,1,3,2774_2775
Rankin et al._2000_112,Rankin et al._2000,0,1,60,Rankin et al._2000_21,Rankin et al._2000_23,1,3,2770_2771
Rankin et al._2000_113,Rankin et al._2000,0,1,63,Rankin et al._2000_17,Rankin et al._2000_19,1,3,2864_2865
Rankin et al._2000_114,Rankin et al._2000,0,1,63,Rankin et al._2000_18,Rankin et al._2000_21,1,3,2866_2867
Rankin et al._2000_115,Rankin et al._2000,0,1,63,Rankin et al._2000_20,Rankin et al._2000_24,1,3,2870_2871
Rankin et al._2000_116,Rankin et al._2000,0,1,63,Rankin et al._2000_22,Rankin et al._2000_23,1,3,2868_2869
Rankin et al._2000_117,Rankin et al._2000,0,1,66,Rankin et al._2000_17,Rankin et al._2000_20,1,3,2960_2961
Rankin et al._2000_118,Rankin et al._2000,0,1,66,Rankin et al._2000_18,Rankin et al._2000_21,1,3,2962_2963
Rankin et al._2000_119,Rankin et al._2000,0,1,66,Rankin et al._2000_19,Rankin et al._2000_22,1,3,2961_2962
Rankin et al._2000_120,Rankin et al._2000,0,1,66,Rankin et al._2000_23,Rankin et al._2000_24,1,3,2965_2966
