match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
charness et al._2007_137,charness et al._2007,1,10,25,charness et al._2007_49,charness et al._2007_50,1,3,1224_1225
charness et al._2007_138,charness et al._2007,1,10,25,charness et al._2007_51,charness et al._2007_52,2,4,1274_1275
charness et al._2007_139,charness et al._2007,1,10,25,charness et al._2007_53,charness et al._2007_56,2,4,1324_1325
charness et al._2007_140,charness et al._2007,1,10,25,charness et al._2007_54,charness et al._2007_55,2,4,1349_1350
charness et al._2007_141,charness et al._2007,1,10,25,charness et al._2007_57,charness et al._2007_59,3,1,1424_1425
charness et al._2007_142,charness et al._2007,1,10,25,charness et al._2007_58,charness et al._2007_60,2,3,1474_1475
charness et al._2007_143,charness et al._2007,1,10,25,charness et al._2007_61,charness et al._2007_64,3,1,1524_1525
charness et al._2007_144,charness et al._2007,1,10,25,charness et al._2007_62,charness et al._2007_63,3,1,1549_1550
charness et al._2007_145,charness et al._2007,1,10,3,charness et al._2007_49,charness et al._2007_50,2,3,1202_1203
charness et al._2007_146,charness et al._2007,1,10,3,charness et al._2007_51,charness et al._2007_52,1,3,1252_1253
charness et al._2007_147,charness et al._2007,1,10,3,charness et al._2007_53,charness et al._2007_55,1,3,1302_1303
charness et al._2007_148,charness et al._2007,1,10,3,charness et al._2007_54,charness et al._2007_56,2,3,1327_1328
charness et al._2007_149,charness et al._2007,1,10,3,charness et al._2007_57,charness et al._2007_60,3,1,1402_1403
charness et al._2007_150,charness et al._2007,1,10,3,charness et al._2007_58,charness et al._2007_59,2,4,1427_1428
charness et al._2007_151,charness et al._2007,1,10,3,charness et al._2007_61,charness et al._2007_63,1,4,1502_1503
charness et al._2007_152,charness et al._2007,1,10,3,charness et al._2007_62,charness et al._2007_64,3,1,1552_1553
charness et al._2007_153,charness et al._2007,1,10,4,charness et al._2007_49,charness et al._2007_50,1,3,1203_1204
charness et al._2007_154,charness et al._2007,1,10,4,charness et al._2007_51,charness et al._2007_52,3,1,1253_1254
charness et al._2007_155,charness et al._2007,1,10,4,charness et al._2007_53,charness et al._2007_56,2,4,1303_1304
charness et al._2007_156,charness et al._2007,1,10,4,charness et al._2007_54,charness et al._2007_55,4,2,1328_1329
charness et al._2007_157,charness et al._2007,1,10,4,charness et al._2007_57,charness et al._2007_59,1,4,1403_1404
charness et al._2007_158,charness et al._2007,1,10,4,charness et al._2007_58,charness et al._2007_60,4,2,1453_1454
charness et al._2007_159,charness et al._2007,1,10,4,charness et al._2007_61,charness et al._2007_63,1,3,1503_1504
charness et al._2007_160,charness et al._2007,1,10,4,charness et al._2007_62,charness et al._2007_64,3,1,1553_1554
charness et al._2007_161,charness et al._2007,1,10,5,charness et al._2007_49,charness et al._2007_50,2,3,1204_1205
charness et al._2007_162,charness et al._2007,1,10,5,charness et al._2007_51,charness et al._2007_52,3,2,1254_1255
charness et al._2007_163,charness et al._2007,1,10,5,charness et al._2007_53,charness et al._2007_54,4,2,1304_1305
charness et al._2007_164,charness et al._2007,1,10,5,charness et al._2007_55,charness et al._2007_56,1,4,1354_1355
charness et al._2007_165,charness et al._2007,1,10,5,charness et al._2007_57,charness et al._2007_59,3,2,1404_1405
charness et al._2007_166,charness et al._2007,1,10,5,charness et al._2007_58,charness et al._2007_60,4,1,1454_1455
charness et al._2007_167,charness et al._2007,1,10,5,charness et al._2007_61,charness et al._2007_63,2,3,1504_1505
charness et al._2007_168,charness et al._2007,1,10,5,charness et al._2007_62,charness et al._2007_64,4,1,1554_1555
charness et al._2007_169,charness et al._2007,1,10,6,charness et al._2007_49,charness et al._2007_50,4,1,1205_1206
charness et al._2007_170,charness et al._2007,1,10,6,charness et al._2007_51,charness et al._2007_52,2,3,1255_1256
charness et al._2007_171,charness et al._2007,1,10,6,charness et al._2007_53,charness et al._2007_54,4,2,1305_1306
charness et al._2007_172,charness et al._2007,1,10,6,charness et al._2007_55,charness et al._2007_56,3,2,1355_1356
charness et al._2007_173,charness et al._2007,1,10,6,charness et al._2007_57,charness et al._2007_60,1,3,1405_1406
charness et al._2007_174,charness et al._2007,1,10,6,charness et al._2007_58,charness et al._2007_59,1,3,1430_1431
charness et al._2007_175,charness et al._2007,1,10,6,charness et al._2007_61,charness et al._2007_64,3,2,1505_1506
