match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Feltovich et al._ 2012_60,Feltovich et al._ 2012,1,12,14,Feltovich et al._ 2012_63,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_61,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_53,Feltovich et al._ 2012_58,2,4
Feltovich et al._ 2012_62,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_54,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_63,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_55,Feltovich et al._ 2012_67,1,4
Feltovich et al._ 2012_64,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_56,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_65,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_57,Feltovich et al._ 2012_71,2,4
Feltovich et al._ 2012_66,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_59,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_67,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_60,Feltovich et al._ 2012_69,1,3
Feltovich et al._ 2012_68,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_61,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_69,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_62,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_70,Feltovich et al._ 2012,1,12,15,Feltovich et al._ 2012_63,Feltovich et al._ 2012_68,1,4
Feltovich et al._ 2012_71,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_53,Feltovich et al._ 2012_55,2,3
Feltovich et al._ 2012_72,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_54,Feltovich et al._ 2012_67,2,3
Feltovich et al._ 2012_73,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_56,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_74,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_57,Feltovich et al._ 2012_66,2,3
Feltovich et al._ 2012_75,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_58,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_76,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_59,Feltovich et al._ 2012_64,2,4
Feltovich et al._ 2012_77,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_60,Feltovich et al._ 2012_68,1,3
Feltovich et al._ 2012_78,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_61,Feltovich et al._ 2012_69,2,4
Feltovich et al._ 2012_79,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_62,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_80,Feltovich et al._ 2012,1,12,16,Feltovich et al._ 2012_63,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_81,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_53,Feltovich et al._ 2012_61,2,3
Feltovich et al._ 2012_82,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_54,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_83,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_55,Feltovich et al._ 2012_69,1,4
Feltovich et al._ 2012_84,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_56,Feltovich et al._ 2012_68,2,4
Feltovich et al._ 2012_85,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_57,Feltovich et al._ 2012_64,2,3
Feltovich et al._ 2012_86,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_58,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_87,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_59,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_88,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_60,Feltovich et al._ 2012_72,2,3
Feltovich et al._ 2012_89,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_62,Feltovich et al._ 2012_66,1,4
Feltovich et al._ 2012_90,Feltovich et al._ 2012,1,12,17,Feltovich et al._ 2012_63,Feltovich et al._ 2012_67,1,4
Feltovich et al._ 2012_91,Feltovich et al._ 2012,1,12,18,Feltovich et al._ 2012_53,Feltovich et al._ 2012_58,2,3
