match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Costa-Gomes et al._2001_69,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_6,2.0,,148_149
Costa-Gomes et al._2001_70,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_7,1.0,,149_150
Costa-Gomes et al._2001_71,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_8,1.0,,150_151
Costa-Gomes et al._2001_72,Costa-Gomes et al._2001,Baseline,1,3A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_9,1.0,,151_152
Costa-Gomes et al._2001_73,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_1,Costa-Gomes et al._2001_2,2.0,,216_217
Costa-Gomes et al._2001_74,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_10,1.0,,224_225
Costa-Gomes et al._2001_75,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_11,2.0,,225_226
Costa-Gomes et al._2001_76,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_12,2.0,,226_227
Costa-Gomes et al._2001_77,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_13,2.0,,227_228
Costa-Gomes et al._2001_78,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_14,3.0,,228_229
Costa-Gomes et al._2001_79,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_15,3.0,,229_230
Costa-Gomes et al._2001_80,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_16,3.0,,230_231
Costa-Gomes et al._2001_81,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_17,3.0,,231_232
Costa-Gomes et al._2001_82,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_18,4.0,,232_233
Costa-Gomes et al._2001_83,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_19,3.0,,233_234
Costa-Gomes et al._2001_84,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_20,3.0,,234_235
Costa-Gomes et al._2001_85,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_21,3.0,,235_236
Costa-Gomes et al._2001_86,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_22,3.0,,236_237
Costa-Gomes et al._2001_87,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_23,4.0,,237_238
Costa-Gomes et al._2001_88,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_24,3.0,,238_239
Costa-Gomes et al._2001_89,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_25,3.0,,239_240
Costa-Gomes et al._2001_90,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_3,2.0,,217_218
Costa-Gomes et al._2001_91,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_4,1.0,,218_219
Costa-Gomes et al._2001_92,Costa-Gomes et al._2001,Baseline,1,3B,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_5,1.0,,219_220
