match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
schmidt et al._2013_1261,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_23,schmidt et al._2013_24,2,4
schmidt et al._2013_1262,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_25,2,4
schmidt et al._2013_1263,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_26,2,4
schmidt et al._2013_1264,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_27,2,4
schmidt et al._2013_1265,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_28,2,4
schmidt et al._2013_1266,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_29,2,4
schmidt et al._2013_1267,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_30,2,4
schmidt et al._2013_1268,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_31,2,4
schmidt et al._2013_1269,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_32,2,3
schmidt et al._2013_1270,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,7,schmidt et al._2013_24,schmidt et al._2013_33,1,4
schmidt et al._2013_1271,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_23,schmidt et al._2013_24,2,4
schmidt et al._2013_1272,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_25,2,4
schmidt et al._2013_1273,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_26,2,4
schmidt et al._2013_1274,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_27,2,4
schmidt et al._2013_1275,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_28,2,4
schmidt et al._2013_1276,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_29,2,4
schmidt et al._2013_1277,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_30,2,4
schmidt et al._2013_1278,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_31,2,4
schmidt et al._2013_1279,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_32,2,4
schmidt et al._2013_1280,schmidt et al._2013,Random Match Protocol, Phase I, Game CO3,NFGDZ3-4.edf,8,schmidt et al._2013_24,schmidt et al._2013_33,2,4
schmidt et al._2013_1281,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_34,schmidt et al._2013_35,1,4
schmidt et al._2013_1282,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_36,2,3
schmidt et al._2013_1283,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_37,1,3
schmidt et al._2013_1284,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1285,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_39,1,4
schmidt et al._2013_1286,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1287,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_41,2,3
schmidt et al._2013_1288,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_42,2,4
schmidt et al._2013_1289,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1290,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,1,schmidt et al._2013_35,schmidt et al._2013_44,2,3
schmidt et al._2013_1291,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_34,schmidt et al._2013_35,1,4
schmidt et al._2013_1292,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_36,2,3
schmidt et al._2013_1293,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1294,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1295,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_39,2,4
schmidt et al._2013_1296,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_40,1,3
schmidt et al._2013_1297,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_41,1,3
schmidt et al._2013_1298,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_42,2,4
schmidt et al._2013_1299,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_43,2,4
schmidt et al._2013_1300,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,2,schmidt et al._2013_35,schmidt et al._2013_44,1,4
schmidt et al._2013_1301,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_34,schmidt et al._2013_35,1,4
schmidt et al._2013_1302,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_36,1,4
schmidt et al._2013_1303,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1304,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_38,2,3
schmidt et al._2013_1305,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_39,2,3
schmidt et al._2013_1306,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_40,2,4
schmidt et al._2013_1307,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_41,1,3
schmidt et al._2013_1308,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_42,2,4
schmidt et al._2013_1309,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_43,1,4
schmidt et al._2013_1310,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,3,schmidt et al._2013_35,schmidt et al._2013_44,1,3
schmidt et al._2013_1311,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_34,schmidt et al._2013_35,2,4
schmidt et al._2013_1312,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_36,2,4
schmidt et al._2013_1313,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_37,1,3
schmidt et al._2013_1314,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1315,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_39,2,4
schmidt et al._2013_1316,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_40,1,3
schmidt et al._2013_1317,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1318,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_42,2,3
schmidt et al._2013_1319,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1320,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,4,schmidt et al._2013_35,schmidt et al._2013_44,1,3
schmidt et al._2013_1321,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_34,schmidt et al._2013_35,2,4
schmidt et al._2013_1322,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_36,2,4
schmidt et al._2013_1323,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_37,2,4
schmidt et al._2013_1324,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1325,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_39,2,4
schmidt et al._2013_1326,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_40,2,4
schmidt et al._2013_1327,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1328,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_42,2,4
schmidt et al._2013_1329,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_43,2,3
schmidt et al._2013_1330,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,5,schmidt et al._2013_35,schmidt et al._2013_44,2,4
schmidt et al._2013_1331,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_34,schmidt et al._2013_35,2,3
schmidt et al._2013_1332,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_36,2,3
schmidt et al._2013_1333,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_37,2,4
schmidt et al._2013_1334,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1335,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_39,2,4
schmidt et al._2013_1336,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1337,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1338,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_42,2,4
schmidt et al._2013_1339,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_43,2,4
schmidt et al._2013_1340,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,6,schmidt et al._2013_35,schmidt et al._2013_44,2,4
schmidt et al._2013_1341,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_34,schmidt et al._2013_35,1,4
schmidt et al._2013_1342,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_36,2,3
schmidt et al._2013_1343,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1344,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1345,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_39,2,4
schmidt et al._2013_1346,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1347,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1348,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_42,2,3
schmidt et al._2013_1349,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_43,1,4
schmidt et al._2013_1350,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,7,schmidt et al._2013_35,schmidt et al._2013_44,2,3
schmidt et al._2013_1351,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_34,schmidt et al._2013_35,1,3
schmidt et al._2013_1352,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_36,1,3
schmidt et al._2013_1353,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1354,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_38,2,3
schmidt et al._2013_1355,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_39,2,3
schmidt et al._2013_1356,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1357,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1358,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_42,1,3
schmidt et al._2013_1359,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1360,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-1.edf,8,schmidt et al._2013_35,schmidt et al._2013_44,1,4
schmidt et al._2013_1361,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_34,schmidt et al._2013_35,2,3
schmidt et al._2013_1362,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_36,1,4
schmidt et al._2013_1363,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_37,1,3
schmidt et al._2013_1364,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_38,1,4
schmidt et al._2013_1365,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_39,1,4
schmidt et al._2013_1366,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1367,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_41,2,3
schmidt et al._2013_1368,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_42,2,3
schmidt et al._2013_1369,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1370,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,1,schmidt et al._2013_35,schmidt et al._2013_44,2,3
schmidt et al._2013_1371,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_34,schmidt et al._2013_35,1,3
schmidt et al._2013_1372,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_36,1,3
schmidt et al._2013_1373,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_37,1,3
schmidt et al._2013_1374,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_38,1,3
schmidt et al._2013_1375,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_39,1,4
schmidt et al._2013_1376,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_40,1,3
schmidt et al._2013_1377,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_41,1,3
schmidt et al._2013_1378,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_42,2,3
schmidt et al._2013_1379,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1380,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,2,schmidt et al._2013_35,schmidt et al._2013_44,1,3
schmidt et al._2013_1381,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_34,schmidt et al._2013_35,2,4
schmidt et al._2013_1382,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_36,1,4
schmidt et al._2013_1383,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1384,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1385,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_39,1,4
schmidt et al._2013_1386,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1387,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_41,2,3
schmidt et al._2013_1388,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_42,2,3
schmidt et al._2013_1389,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_43,2,3
schmidt et al._2013_1390,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,3,schmidt et al._2013_35,schmidt et al._2013_44,1,4
schmidt et al._2013_1391,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_34,schmidt et al._2013_35,2,4
schmidt et al._2013_1392,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_36,2,4
schmidt et al._2013_1393,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_37,2,4
schmidt et al._2013_1394,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_38,2,4
schmidt et al._2013_1395,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_39,2,4
schmidt et al._2013_1396,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_40,1,3
schmidt et al._2013_1397,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1398,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_42,2,3
schmidt et al._2013_1399,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1400,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,4,schmidt et al._2013_35,schmidt et al._2013_44,2,4
schmidt et al._2013_1401,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_34,schmidt et al._2013_35,2,3
schmidt et al._2013_1402,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_36,1,4
schmidt et al._2013_1403,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1404,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_38,1,4
schmidt et al._2013_1405,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_39,2,3
schmidt et al._2013_1406,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_40,1,4
schmidt et al._2013_1407,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_41,1,3
schmidt et al._2013_1408,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_42,1,3
schmidt et al._2013_1409,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1410,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,5,schmidt et al._2013_35,schmidt et al._2013_44,1,3
schmidt et al._2013_1411,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_34,schmidt et al._2013_35,2,3
schmidt et al._2013_1412,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_36,1,3
schmidt et al._2013_1413,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_37,2,3
schmidt et al._2013_1414,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_38,1,3
schmidt et al._2013_1415,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_39,1,4
schmidt et al._2013_1416,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_40,1,3
schmidt et al._2013_1417,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_41,1,4
schmidt et al._2013_1418,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_42,1,3
schmidt et al._2013_1419,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_43,1,3
schmidt et al._2013_1420,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,6,schmidt et al._2013_35,schmidt et al._2013_44,1,3
schmidt et al._2013_1421,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,7,schmidt et al._2013_34,schmidt et al._2013_35,1,4
schmidt et al._2013_1422,schmidt et al._2013,Random Match Protocol, Phase I, Game CO4,NFGDZ4-2.edf,7,schmidt et al._2013_35,schmidt et al._2013_36,1,3
