match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
schmidt et al._2013_64,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_259,schmidt et al._2013_260,1,3
schmidt et al._2013_65,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_261,schmidt et al._2013_262,2,4
schmidt et al._2013_66,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_263,schmidt et al._2013_264,1,3
schmidt et al._2013_67,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_265,schmidt et al._2013_266,1,4
schmidt et al._2013_68,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_267,schmidt et al._2013_268,1,4
schmidt et al._2013_69,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_269,schmidt et al._2013_270,1,4
schmidt et al._2013_70,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_271,schmidt et al._2013_272,2,4
schmidt et al._2013_71,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_273,schmidt et al._2013_274,2,3
schmidt et al._2013_72,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_275,schmidt et al._2013_276,2,3
schmidt et al._2013_73,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_277,schmidt et al._2013_278,2,4
schmidt et al._2013_74,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_279,schmidt et al._2013_280,1,4
schmidt et al._2013_75,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_281,schmidt et al._2013_282,1,4
schmidt et al._2013_76,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_283,schmidt et al._2013_284,2,3
schmidt et al._2013_77,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_285,schmidt et al._2013_286,1,3
schmidt et al._2013_78,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_287,schmidt et al._2013_288,2,4
schmidt et al._2013_79,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_289,schmidt et al._2013_290,1,3
schmidt et al._2013_80,schmidt et al._2013,One Shot Protocol, original, Game CO4,original,1,schmidt et al._2013_291,schmidt et al._2013_292,2,3
schmidt et al._2013_81,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_293,schmidt et al._2013_294,1,3
schmidt et al._2013_82,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_295,schmidt et al._2013_296,1,3
schmidt et al._2013_83,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_297,schmidt et al._2013_298,1,3
schmidt et al._2013_84,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_299,schmidt et al._2013_300,1,4
schmidt et al._2013_85,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_301,schmidt et al._2013_302,1,4
schmidt et al._2013_86,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_303,schmidt et al._2013_304,2,4
schmidt et al._2013_87,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_305,schmidt et al._2013_306,1,4
schmidt et al._2013_88,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_307,schmidt et al._2013_308,1,3
schmidt et al._2013_89,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_309,schmidt et al._2013_310,1,3
schmidt et al._2013_90,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_311,schmidt et al._2013_312,1,3
schmidt et al._2013_91,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_313,schmidt et al._2013_314,2,3
schmidt et al._2013_92,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_315,schmidt et al._2013_316,1,3
schmidt et al._2013_93,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_317,schmidt et al._2013_318,1,3
schmidt et al._2013_94,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_319,schmidt et al._2013_320,1,3
schmidt et al._2013_95,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_321,schmidt et al._2013_322,1,3
schmidt et al._2013_96,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_323,schmidt et al._2013_324,1,3
schmidt et al._2013_97,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_325,schmidt et al._2013_326,1,3
schmidt et al._2013_98,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_327,schmidt et al._2013_328,2,3
schmidt et al._2013_99,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_329,schmidt et al._2013_330,2,3
schmidt et al._2013_100,schmidt et al._2013,One Shot Protocol, original, Game PD1,original,1,schmidt et al._2013_331,schmidt et al._2013_332,2,4
schmidt et al._2013_101,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_333,schmidt et al._2013_334,1,3
schmidt et al._2013_102,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_335,schmidt et al._2013_336,1,3
schmidt et al._2013_103,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_337,schmidt et al._2013_338,1,4
schmidt et al._2013_104,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_339,schmidt et al._2013_340,1,4
schmidt et al._2013_105,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_341,schmidt et al._2013_342,2,4
schmidt et al._2013_106,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_343,schmidt et al._2013_344,2,4
schmidt et al._2013_107,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_345,schmidt et al._2013_346,1,3
schmidt et al._2013_108,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_347,schmidt et al._2013_348,1,3
schmidt et al._2013_109,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_349,schmidt et al._2013_350,1,3
schmidt et al._2013_110,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_351,schmidt et al._2013_352,1,3
schmidt et al._2013_111,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_353,schmidt et al._2013_354,2,4
schmidt et al._2013_112,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_355,schmidt et al._2013_356,1,3
schmidt et al._2013_113,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_357,schmidt et al._2013_358,1,3
schmidt et al._2013_114,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_359,schmidt et al._2013_360,1,3
schmidt et al._2013_115,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_361,schmidt et al._2013_362,1,3
schmidt et al._2013_116,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_363,schmidt et al._2013_364,1,3
schmidt et al._2013_117,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_365,schmidt et al._2013_366,1,3
schmidt et al._2013_118,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_367,schmidt et al._2013_368,2,3
schmidt et al._2013_119,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_369,schmidt et al._2013_370,2,3
schmidt et al._2013_120,schmidt et al._2013,One Shot Protocol, original, Game PD2,original,1,schmidt et al._2013_371,schmidt et al._2013_372,2,4
schmidt et al._2013_121,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_373,schmidt et al._2013_374,1,3
schmidt et al._2013_122,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_375,schmidt et al._2013_376,1,4
schmidt et al._2013_123,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_377,schmidt et al._2013_378,1,4
schmidt et al._2013_124,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_379,schmidt et al._2013_380,1,4
schmidt et al._2013_125,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_381,schmidt et al._2013_382,1,4
schmidt et al._2013_126,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_383,schmidt et al._2013_384,2,3
schmidt et al._2013_127,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_385,schmidt et al._2013_386,1,4
schmidt et al._2013_128,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_387,schmidt et al._2013_388,1,3
schmidt et al._2013_129,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_389,schmidt et al._2013_390,1,3
schmidt et al._2013_130,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_391,schmidt et al._2013_392,1,3
schmidt et al._2013_131,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_393,schmidt et al._2013_394,2,3
schmidt et al._2013_132,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_395,schmidt et al._2013_396,1,4
schmidt et al._2013_133,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_397,schmidt et al._2013_398,2,3
schmidt et al._2013_134,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_399,schmidt et al._2013_400,1,3
schmidt et al._2013_135,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_401,schmidt et al._2013_402,1,3
schmidt et al._2013_136,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_403,schmidt et al._2013_404,1,3
schmidt et al._2013_137,schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,schmidt et al._2013_405,schmidt et al._2013_406,1,3
